id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-01-07 08:23:02,突尼斯,149881,0,111599,5004,0,0.0,2820.0,,1275.0,70.0,,,
9507896,2021-01-07 08:23:02,塞尔维亚,352120,0,0,3444,0,0.0,2882.0,,0.0,0.0,,,
0,2021-01-07 17:13:40,中国,97254,0,91172,4795,0,4359.0,94.0,,164.0,1.0,,-38.0,11.0
1,2021-01-07 18:03:37,日本本土,266098,0,210295,3636,0,0.0,6603.0,,3412.0,27.0,,,
2,2021-01-07 14:23:37,泰国,9636,0,4521,67,0,0.0,305.0,,103.0,1.0,,,
3,2021-01-07 18:03:38,新加坡,58813,0,58541,29,0,0.0,33.0,,24.0,0.0,,,
4,2021-01-07 11:13:28,韩国,66686,0,47649,1046,0,0.0,868.0,,654.0,19.0,,,
5,2021-01-07 13:18:27,澳大利亚,28546,0,25810,909,0,0.0,10.0,,7.0,0.0,,,
6,2021-01-07 18:03:37,德国,1844991,0,1496182,37837,0,0.0,15608.0,,23871.0,968.0,,,
7,2021-01-07 10:38:05,美国,21857616,0,13024142,369990,0,0.0,260973.0,,161926.0,4370.0,,,
8,2021-01-07 08:23:02,马来西亚,125438,0,100578,513,0,0.0,2593.0,,0.0,0.0,,,
9,2021-01-07 08:23:02,越南,1505,0,1353,35,0,0.0,1.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-01-07 08:23:02,肯尼亚,97398,0,79966,1694,0,0.0,271.0,,0.0,0.0,,,
826,2021-01-07 08:23:02,伊朗,1261903,0,1040521,55830,0,0.0,6283.0,,0.0,0.0,,,
827,2021-01-07 18:03:37,以色列,466377,0,399019,3527,0,0.0,6942.0,,3565.0,30.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-01-07 08:23:02,黎巴嫩,199925,0,136566,1550,0,0.0,4166.0,,970.0,21.0,,,
833,2021-01-07 08:23:02,克罗地亚,216286,0,205078,4223,0,0.0,1896.0,,0.0,0.0,,,
834,2021-01-07 08:23:02,奥地利,372190,0,344974,6525,0,0.0,2469.0,,0.0,0.0,,,
835,2021-01-07 08:23:02,瑞士,470789,0,317600,8109,0,0.0,4808.0,,0.0,45.0,,,
839,2021-01-07 08:23:02,希腊,142267,0,93764,5099,0,0.0,814.0,,0.0,48.0,,,
95800,2021-01-07 09:02:56,毛里求斯,539,0,514,10,0,0.0,8.0,,1.0,0.0,,,
845,2021-01-07 18:03:38,爱沙尼亚,31751,0,21567,265,0,0.0,1084.0,,496.0,4.0,,,
846,2021-01-07 08:23:02,北马其顿,85328,0,65793,2571,0,0.0,619.0,,1689.0,12.0,,,
850,2021-01-07 08:23:02,白俄罗斯,204958,0,186394,1480,0,0.0,1854.0,,0.0,0.0,,,
851,2021-01-07 18:03:37,立陶宛,154550,0,86109,2076,0,0.0,2335.0,,2272.0,40.0,,,
852,2021-01-07 08:23:02,阿塞拜疆,222200,0,201596,2818,0,0.0,799.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-01-07 18:03:38,乌克兰,1133802,0,801293,20334,0,0.0,9320.0,,11666.0,163.0,,,
874,2021-01-07 08:23:02,波兰,1344763,0,1087744,30055,0,0.0,14220.0,,0.0,0.0,,,
879,2021-01-07 08:23:02,波黑,113392,0,79465,4211,0,0.0,0.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2021-01-07 14:23:37,南非,1149591,0,929239,31368,0,0.0,21832.0,,8360.0,844.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2021-01-07 08:23:02,马耳他,13612,0,11540,227,0,0.0,224.0,,0.0,0.0,,,
896,2021-01-07 08:23:02,摩尔多瓦,147871,0,135911,3088,0,0.0,950.0,,1160.0,18.0,,,
897,2021-01-07 09:02:56,保加利亚,206392,0,128789,7961,0,0.0,1002.0,,2023.0,59.0,,,
898,2021-01-07 08:23:02,孟加拉,518898,0,463480,7687,0,0.0,978.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2021-01-07 08:23:02,巴勒斯坦,144257,0,126110,1519,0,0.0,1088.0,,0.0,0.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2021-01-07 08:23:02,阿富汗,53105,0,42666,2244,0,0.0,94.0,,0.0,0.0,,,
95888822,2021-01-07 08:23:02,沙特阿拉伯,363377,0,354899,6272,0,0.0,118.0,,0.0,0.0,,,
9511123,2021-01-07 11:13:28,新西兰,2188,0,2101,25,0,0.0,2.0,,1.0,0.0,,,
95333,2021-01-07 08:23:02,塔吉克斯坦,13305,0,13111,90,0,0.0,0.0,,0.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2021-01-07 09:58:09,巴拿马,264956,0,208620,4283,0,0.0,5186.0,,2533.0,45.0,,,
95329,2021-01-07 08:23:02,古巴,13165,0,11248,148,0,0.0,201.0,,212.0,1.0,,,
9511111,2021-01-07 09:02:56,尼日利亚,94369,0,77299,1324,0,0.0,1664.0,,903.0,5.0,,,
95858585,2021-01-07 08:23:02,摩洛哥,447081,0,418744,7618,0,0.0,1642.0,,2036.0,37.0,,,
9500222,2021-01-07 08:23:02,塞内加尔,20156,0,17782,433,0,0.0,192.0,,0.0,0.0,,,
95118,2020-06-15 14:24:59,老挝,19,0,19,0,0,,,,,,,,
95350,2021-01-07 08:23:02,巴哈马,7945,0,6277,175,0,0.0,17.0,,17.0,0.0,,,
84226,2020-06-15 10:14:23,马约特岛,2282,0,1790,28,0,0.0,,,,,,,
954444,2021-01-07 08:23:02,斯洛文尼亚,131724,0,107103,2899,0,0.0,3365.0,,0.0,0.0,,,
95103,2021-01-07 08:23:02,卢森堡,47430,0,43712,517,0,0.0,281.0,,244.0,3.0,,,
95106,2021-01-07 08:23:02,爱尔兰,121154,0,23364,2299,0,0.0,7832.0,,0.0,17.0,,,
95102,2021-01-07 08:23:02,厄瓜多尔,217377,0,190350,14146,0,0.0,1294.0,,0.0,43.0,,,
957777,2021-01-07 15:58:28,捷克,794740,0,649394,12621,0,0.0,17773.0,,11211.0,185.0,,,
9522222,2021-01-07 08:23:02,匈牙利,331768,0,179541,10198,0,0.0,2047.0,,0.0,0.0,,,
8101,2020-06-15 10:57:56,法属圭亚那,1255,0,534,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8102,2020-06-15 11:45:39,多哥共和国,530,0,291,13,0,0.0,,,,,,,
8100,2021-01-07 08:23:02,哥斯达黎加,175038,0,134911,2267,0,0.0,1447.0,,1304.0,19.0,,,
8105,2021-01-07 18:03:37,文莱,173,0,149,3,0,0.0,1.0,,0.0,0.0,,,
8103,2020-06-15 13:46:38,法罗群岛,187,0,187,0,0,0.0,,,,,,,
8104,2021-01-07 08:23:02,马提尼克岛,37,0,0,1,0,0.0,5.0,,0.0,0.0,,,
95120,2021-01-07 11:13:28,荷兰,853060,0,10303,12096,0,0.0,139.0,,181.0,1.0,,,
951234567,2021-01-07 13:18:27,巴西,7873830,0,7033286,198974,0,0.0,63430.0,,37745.0,1242.0,,,
8115,2021-01-07 13:18:27,洪都拉斯,124899,0,57348,3192,0,0.0,1077.0,,0.0,6.0,,,
95394,2021-01-07 08:23:02,乌拉圭,23048,0,16540,221,0,0.0,944.0,,621.0,4.0,,,
95390,2021-01-07 14:23:37,秘鲁,1022018,0,962566,37925,0,0.0,2543.0,,1670.0,95.0,,,
956666,2021-01-07 08:23:02,智利,625483,0,591081,16816,0,0.0,2382.0,,0.0,0.0,,,
95389,2020-06-15 00:00:31,格陵兰,13,0,13,0,0,0.0,,,,,,,
95382,2020-06-12 17:03:05,圣巴托洛谬岛,6,0,6,0,0,,,,,,,,
950101010,2021-01-07 08:23:02,马尔代夫,13967,0,13225,48,0,0.0,37.0,,8.0,0.0,,,
95384,2021-01-07 12:13:27,委内瑞拉,114908,0,108966,1047,0,0.0,246.0,,234.0,5.0,,,
8134,2021-01-07 08:23:02,毛里塔尼亚,15111,0,12805,373,0,0.0,130.0,,166.0,6.0,,,
8135,2020-06-15 00:00:31,纳米比亚,31,0,17,0,0,,,,,,,,
8132,2020-06-15 13:04:24,法属留尼汪岛,487,0,447,1,0,0.0,,,,,,,
8133,2020-06-13 11:26:34,波多黎各,5536,0,0,146,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
95732,2021-01-07 08:23:01,加纳,55168,0,53928,335,0,0.0,0.0,,0.0,0.0,,,
8136,2021-01-07 08:23:02,赤道几内亚,5286,0,5154,86,0,0.0,7.0,,0.0,0.0,,,
8130,2021-01-07 08:23:02,几内亚,13845,0,13199,81,0,0.0,27.0,,0.0,0.0,,,
8131,2021-01-07 08:23:02,卢旺达,9058,0,6940,112,0,0.0,103.0,,62.0,2.0,,,
80001,2020-06-15 00:00:31,格林纳达,23,0,22,0,0,,,,,,,,
8129,2021-01-07 08:23:01,斯威士兰,10539,0,7254,261,0,0.0,201.0,,120.0,9.0,,,
8145,2021-01-07 08:23:02,坦桑尼亚,509,0,183,21,0,0.0,0.0,,0.0,0.0,,,
8146,2021-01-07 08:23:01,贝宁,3304,0,3185,44,0,0.0,53.0,,0.0,0.0,,,
8143,2021-01-07 08:23:02,刚果（金）,18487,0,14723,599,0,0.0,239.0,,0.0,0.0,,,
8144,2021-01-07 08:23:02,中非共和国,4963,0,1924,63,0,0.0,0.0,,0.0,0.0,,,
8147,2021-01-07 08:23:02,利比里亚,1779,0,1406,83,0,0.0,0.0,,0.0,0.0,,,
8148,2021-01-07 09:02:56,索马里,4726,0,3639,130,0,0.0,12.0,,27.0,0.0,,,
95123456,2021-01-07 08:23:02,塞拉利昂,2739,0,1929,76,0,0.0,15.0,,5.0,0.0,,,
95XXXX,2021-01-07 08:23:02,乍得,2328,0,1888,105,0,0.0,39.0,,12.0,0.0,,,
8152,2021-01-07 08:23:02,赞比亚,23495,0,19672,417,0,0.0,850.0,,0.0,0.0,,,
8151,2020-06-15 13:01:51,巴巴多斯,96,0,83,7,0,,,,,,,,
95mali,2021-01-07 08:23:02,马里,7395,0,5110,285,0,0.0,46.0,,40.0,1.0,,,
958888,2021-01-07 08:23:01,阿根廷,1676171,0,1474048,43976,0,0.0,13441.0,,7432.0,191.0,,,
81113,2020-06-15 00:00:31,法属波利尼西亚,60,0,60,0,0,,,,,,,,
9584332,2021-01-07 08:23:02,巴林,94284,0,91431,353,0,0.0,289.0,,218.0,1.0,,,
8168,2021-01-07 08:23:02,莫桑比克,19667,0,17141,172,0,0.0,125.0,,72.0,1.0,,,
95747,2021-01-07 08:23:02,喀麦隆,26848,0,24892,448,0,0.0,0.0,,0.0,0.0,,,
8165,2021-01-07 08:23:02,乌干达,36702,0,12494,294,0,0.0,295.0,,107.0,4.0,,,
8166,2020-06-12 16:57:11,厄立特里亚,41,0,39,0,0,,,,,,,,
95983,2021-01-07 09:02:56,刚果（布）,7127,0,5846,108,0,0.0,20.0,,0.0,0.0,,,
8162,2021-01-07 08:23:02,津巴布韦,17804,0,11966,431,0,0.0,610.0,,153.0,13.0,,,
956475,2021-01-07 08:23:02,丹麦,175663,0,145459,1451,0,0.0,2231.0,,0.0,0.0,,,
81344,2020-06-15 14:48:41,阿鲁巴,101,0,98,3,0,0.0,,,,,,,
95776,2021-01-07 08:23:02,斐济,53,0,44,2,0,0.0,4.0,,0.0,0.0,,,
8172,2021-01-07 09:58:09,伯利兹,11108,0,10312,260,0,0.0,90.0,,82.0,2.0,,,
8173,2021-01-07 08:23:02,缅甸,128178,0,111401,2785,0,0.0,594.0,,596.0,19.0,,,
9568067,2021-01-07 09:58:10,塞浦路斯,25781,0,2057,138,0,0.0,573.0,,0.0,4.0,,,
81134,2020-06-14 00:00:31,关岛,183,0,143,5,0,0.0,,,,,,,
888779,2020-06-15 10:21:59,科索沃,1326,0,921,31,0,0.0,,,,,,,
95860612,2020-06-12 17:03:41,圣皮埃尔岛和密克隆岛,1,0,1,0,0,0.0,,,,,,,
95251456,2021-01-07 15:58:29,吉尔吉斯斯坦,81826,0,77376,1363,0,0.0,170.0,,206.0,2.0,,,
8197,2020-06-15 00:00:31,博茨瓦纳,60,0,24,1,0,,,0.0,,,0.0,,
95309,2021-01-07 09:02:56,尼日尔,3634,0,2182,113,0,0.0,77.0,,30.0,1.0,,,
95305,2021-01-07 09:58:10,苏里南,6666,0,6021,126,0,0.0,80.0,,54.0,1.0,,,
95306,2021-01-07 08:23:02,佛得角,12052,0,11633,113,0,0.0,69.0,,25.0,0.0,,,
95786,2021-01-07 17:03:36,萨尔瓦多,47948,0,42668,1390,0,0.0,593.0,,443.0,17.0,,,
95303,2020-06-15 13:51:31,圭亚那,159,0,99,12,0,,,0.0,,,0.0,,
95787,2021-01-07 08:23:02,尼加拉瓜,6097,0,4225,166,0,0.0,51.0,,0.0,0.0,,,
95783,2020-06-15 00:00:31,冈比亚,28,0,24,1,0,,,0.0,,,0.0,,
9523416782,2020-06-12 16:58:23,东帝汶,24,0,24,0,0,,,,,,,,
950777,2021-01-07 13:18:27,巴基斯坦,495075,0,450515,10511,0,0.0,2481.0,,2122.0,50.0,,,
9577890,2021-01-07 09:02:56,埃及,145590,0,115975,7975,0,0.0,1007.0,,561.0,57.0,,,
9577665,2021-01-07 08:23:02,科威特,152438,0,148015,938,0,0.0,411.0,,0.0,0.0,,,
95903,2021-01-07 08:23:02,斯洛伐克,196047,0,135760,2657,0,0.0,4959.0,,0.0,0.0,,,
95904,2020-06-15 13:47:38,直布罗陀,176,0,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
959333,2020-06-16 00:00:31,摩纳哥,99,0,93,4,0,,,,,,,,
9509765,2021-01-07 09:02:56,巴拉圭,111694,0,87747,2337,0,0.0,898.0,,961.0,16.0,,,
856671,2020-06-12 16:58:47,荷属安的列斯,22,0,15,1,0,,,,,,,,
95711,2020-06-15 00:00:31,多米尼克,18,0,16,0,0,,,,,,,,
95703,2021-01-07 15:28:28,乌兹别克斯坦,77412,0,75759,615,0,0.0,62.0,,109.0,0.0,,,
95293,2021-01-07 08:23:02,黑山,50697,0,40638,705,0,0.0,643.0,,269.0,6.0,,,
95294,2021-01-07 08:23:02,危地马拉,140202,0,128952,4899,0,0.0,783.0,,597.0,40.0,,,
95290,2021-01-07 09:02:56,加蓬,9641,0,9453,66,0,0.0,36.0,,38.0,0.0,,,
95291,2021-01-07 08:23:02,苏丹,23316,0,13524,1468,0,0.0,0.0,,0.0,0.0,,,
87435,2021-01-07 08:23:02,利比亚,102880,0,77435,1546,0,0.0,424.0,,0.0,0.0,,,
95287,2020-06-15 14:48:56,圣马丁岛,77,0,61,15,0,,,,,,,,
95046,2021-01-07 08:23:02,土耳其,2283931,0,2164040,22070,0,0.0,13830.0,,8702.0,191.0,,,
95047,2020-06-12 17:02:54,巴布亚新几内亚,8,0,8,0,0,,,,,,,,
95000011,2021-01-07 08:23:02,多米尼加,176378,0,134932,2419,0,0.0,529.0,,601.0,0.0,,,
95076,2021-01-07 08:23:01,约旦,302856,0,282727,3955,0,0.0,1553.0,,1707.0,15.0,,,
9532556,2021-01-07 17:03:36,亚美尼亚,161054,0,147388,2901,0,0.0,201.0,,812.0,11.0,,,
811192,2020-06-12 17:01:29,圣基茨和尼维斯,15,0,15,0,0,,,,,,,,
89665,2020-06-15 13:49:44,瓜德罗普,171,0,157,14,0,,,0.0,,,0.0,,
94367,2021-01-07 08:23:02,安提瓜和巴布达,163,0,149,5,0,0.0,3.0,,1.0,0.0,,,
95215,2021-01-07 11:13:28,玻利维亚,166981,0,135186,9287,0,0.0,1713.0,,683.0,46.0,,,
95693,2021-01-07 08:23:02,哥伦比亚,1719771,0,1569578,44723,0,0.0,16805.0,,10568.0,295.0,,,
879903,2020-06-12 16:57:52,圣文森特和格林纳丁斯,27,0,25,0,0,,,,,,,,
84326,2020-06-12 16:59:25,圣卢西亚,19,0,18,0,0,,,,,,,,
10,2021-01-07 09:58:09,法国,2763116,0,204679,66699,0,0.0,25109.0,,1253.0,282.0,,,
11,2021-01-07 08:23:02,阿联酋,218766,0,195520,689,0,0.0,2067.0,,2199.0,4.0,,,
12,2021-01-07 09:58:10,加拿大,631466,0,537024,16403,0,0.0,7912.0,,6351.0,117.0,,,
13,2021-01-07 14:23:37,印度,10395278,0,10016859,150336,0,0.0,20346.0,,19587.0,222.0,,,
14,2021-01-07 11:13:28,英国,2845265,0,6448,77470,0,0.0,62556.0,,65.0,1042.0,,,
15,2021-01-07 08:23:02,意大利,2201945,0,1556356,76877,0,0.0,20326.0,,20227.0,548.0,,,
16,2021-01-07 18:03:37,俄罗斯,3297833,0,2681373,59628,0,0.0,23218.0,,23379.0,491.0,,,
17,2021-01-07 18:03:37,菲律宾,482083,0,449052,9356,0,0.0,1346.0,,352.0,9.0,,,
18,2021-01-07 08:23:02,芬兰,37549,0,31000,576,0,0.0,331.0,,0.0,0.0,,,
19,2021-01-07 08:23:02,尼泊尔,263193,0,256161,1899,0,0.0,409.0,,0.0,0.0,,,
95682,2021-01-07 08:23:02,葡萄牙,446606,0,352225,7377,0,0.0,10027.0,,0.0,0.0,,,
95200,2021-01-07 08:23:02,也门,2102,0,1403,610,0,0.0,1.0,,2.0,0.0,,,
954356,2020-06-15 00:00:31,塞舌尔,11,0,11,0,0,,,,,,,,
20,2021-01-07 08:23:02,西班牙,1982544,0,196958,51430,0,0.0,16343.0,,0.0,0.0,,,
21,2021-01-07 08:23:02,斯里兰卡,46248,0,39023,219,0,0.0,522.0,,0.0,2.0,,,
9509,2021-01-07 09:02:56,阿尔及利亚,101120,0,68383,2786,0,0.0,247.0,,198.0,4.0,,,
22,2021-01-07 12:13:27,柬埔寨,385,0,362,0,0,0.0,2.0,,0.0,0.0,,,
95239,2021-01-07 08:23:02,海地,10127,0,8672,236,0,0.0,0.0,,0.0,0.0,,,
23,2021-01-07 08:23:02,瑞典,469748,0,0,8985,0,0.0,0.0,,0.0,0.0,,,
95237,2020-06-15 14:48:06,特里尼达和多巴哥,123,0,109,8,0,,,0.0,,,0.0,,
95jibuti,2021-01-07 08:23:02,吉布提,5855,0,5758,61,0,0.0,1.0,,6.0,0.0,,,
9512314,2020-06-15 11:44:39,圣多美与普林西比,659,0,176,12,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
953487,2021-01-07 09:02:56,布基纳法索,7563,0,5474,89,0,0.0,221.0,,31.0,3.0,,,
954332,2021-01-07 12:13:27,比利时,655732,0,0,19883,0,0.0,2997.0,,0.0,56.0,,,
9534324,2021-01-07 08:23:02,伊拉克,599965,0,549346,12865,0,0.0,839.0,,0.0,0.0,,,
95000111,2021-01-07 09:02:56,马拉维,7337,0,5787,199,0,0.0,227.0,,34.0,0.0,,,
95010,2021-01-07 08:23:02,冰岛,5832,0,5676,29,0,0.0,21.0,,0.0,0.0,,,
95jnybs,2021-01-07 08:23:02,几内亚比绍,2455,0,2398,45,0,0.0,0.0,,0.0,0.0,,,
953333666,2021-01-07 08:23:02,拉脱维亚,45171,0,30892,754,0,0.0,1229.0,,0.0,0.0,,,
9512111,2020-06-15 14:49:07,不丹,66,0,21,0,0,,,0.0,,,0.0,,
957873,2021-01-07 09:02:56,挪威,52967,0,17998,465,0,0.0,509.0,,0.0,0.0,,,
9524546,2021-01-07 08:23:02,印度尼西亚,788402,0,652513,23296,0,0.0,8854.0,,0.0,0.0,,,
956789,2021-01-07 08:23:02,安哥拉,17864,0,11477,413,0,0.0,108.0,,101.0,3.0,,,
87656,2020-06-15 13:46:13,开曼群岛,187,0,115,1,0,,,,,,,,
95844,2021-01-07 08:23:02,埃塞俄比亚,126786,0,112974,1965,0,0.0,545.0,,161.0,2.0,,,
95879,2020-06-15 00:00:31,梵蒂冈,12,0,12,0,0,,,,,,,,
95632,2021-01-07 08:23:01,科特迪瓦,22963,0,22212,138,0,0.0,108.0,,58.0,0.0,,,
95634,2021-01-07 08:23:02,卡塔尔,145061,0,142182,245,0,0.0,209.0,,0.0,0.0,,,
95411,2020-06-12 17:03:24,莱索托,4,0,2,0,0,,,,,,,,
950611,2021-01-07 17:03:36,格鲁吉亚,235491,0,223695,2694,0,0.0,1612.0,,419.0,28.0,,,
96745,2021-01-07 11:13:28,墨西哥,1479835,0,1119968,129987,0,0.0,13345.0,,6831.0,1165.0,,,
95891,2021-01-07 08:23:02,圣马力诺,2549,0,2158,62,0,0.0,56.0,,0.0,0.0,,,
95400,2021-01-07 13:18:27,哈萨克斯坦,205933,0,180364,2781,0,0.0,869.0,,987.0,6.0,,,
95643,2021-01-07 08:23:01,安道尔,8348,0,7615,84,0,0.0,40.0,,30.0,0.0,,,
95886,2021-01-07 08:23:02,牙买加,13330,0,11182,306,0,0.0,84.0,,0.0,0.0,,,
82333,2020-06-15 13:26:03,格恩西岛,252,0,238,13,0,,,,,,,,
95677,2021-01-07 08:23:02,罗马尼亚,654007,0,586764,16299,0,0.0,5719.0,,0.0,0.0,,,
95436,2021-01-07 08:23:02,阿曼,129888,0,122456,1504,0,0.0,114.0,,0.0,0.0,,,
95672,2020-06-15 14:25:46,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,2021-01-07 08:23:02,马达加斯加,17767,0,17298,262,0,0.0,0.0,,0.0,0.0,,,
